mean_hamming,variance_hamming,mean_euclidean,variance_euclidean
1,0,1, 0
2,0,1.4142, 3.24018e-10
3,0,1.73206, 1.94547e-11
3.996,0.00798405,1.99883, 0.000684919
4.988,0.0238557,2.23305, 0.00151504
5.99,0.0199001,2.44722, 0.00100515
6.994,0.0119641,2.64452, 0.000502003
7.986,0.0278042,2.82574, 0.000998116
8.98,0.0396002,2.99646, 0.00124237
9.966,0.0668443,3.15662, 0.00186256
10.946,0.105083,3.3081, 0.00263369
11.954,0.089884,3.45717, 0.00204704
12.948,0.101295,3.59801, 0.00211402
13.942,0.112636,3.73364, 0.0021693
14.94,0.116401,3.86497, 0.00208123
15.958,0.0822353,3.99458, 0.00137214
16.946,0.105083,4.11631, 0.00164354
17.94,0.1164,4.23538, 0.00171325
18.922,0.149916,4.34969, 0.00208377
19.906,0.179163,4.46137, 0.00235905
20.886,0.215005,4.56979, 0.00268921
21.882,0.222079,4.67755, 0.00264524
22.858,0.271834,4.7807, 0.00309931
23.826,0.317723,4.8808, 0.00345512
24.798,0.363195,4.97938, 0.00378495
25.788,0.379057,5.07786, 0.00379207
26.76,0.422395,5.17261, 0.00406301
27.76,0.422396,5.26841, 0.00391243
28.754,0.431484,5.36196, 0.00385375
29.744,0.446459,5.45343, 0.00385001
30.75,0.4375,5.545, 0.00364683
31.744,0.478458,5.63377, 0.00387613
32.754,0.455484,5.72284, 0.00357101
33.774,0.408925,5.81132, 0.00310225
34.742,0.465433,5.89392, 0.00342994
35.764,0.440303,5.98004, 0.00315536
36.762,0.443354,6.06284, 0.00308866
37.746,0.459483,6.14354, 0.00311096
38.722,0.494711,6.22249, 0.00326066
39.706,0.565561,6.30101, 0.00364647
40.688,0.58266,6.37848, 0.00365902
41.632,0.648582,6.45204, 0.00396889
42.588,0.686253,6.52569, 0.0040939
43.594,0.711167,6.60231, 0.00415151
44.53,0.81509,6.6727, 0.00465466
45.508,0.853934,6.74557, 0.00476993
46.478,0.915511,6.81706, 0.00500703
47.442,0.916627,6.88746, 0.00489896
48.468,0.876974,6.96155, 0.00458688
49.448,0.919285,7.03166, 0.00471314
50.404,0.972785,7.09928, 0.0048884
51.358,1.02384,7.16608, 0.00504472
52.354,1.02668,7.23532, 0.00496087
53.32,1.0656,7.30173, 0.00505258
54.276,1.16382,7.36682, 0.00542336
55.21,1.26791,7.43001, 0.00580644
56.212,1.15507,7.49708, 0.0051834
57.196,1.16158,7.56246, 0.00512048
58.238,1.07936,7.63107, 0.00466968
59.156,1.25565,7.69095, 0.0053556
60.132,1.23057,7.75411, 0.00515556
61.052,1.34928,7.81324, 0.00556745
62.028,1.42321,7.87533, 0.00578386
62.976,1.41543,7.93539, 0.0056622
63.942,1.49264,7.99601, 0.00587836
64.87,1.5191,8.05382, 0.00589297
65.89,1.5639,8.11698, 0.00597924
66.914,1.56862,8.17968, 0.00590718
67.906,1.71117,8.24017, 0.00635791
68.862,1.75695,8.29792, 0.0064369
69.886,1.723,8.35947, 0.00622006
70.858,1.77985,8.41739, 0.00633325
71.824,1.72101,8.47455, 0.00603355
72.792,1.90074,8.53151, 0.00658279
73.792,1.77274,8.58983, 0.00605316
74.804,1.76958,8.64862, 0.00595846
75.772,1.804,8.70432, 0.00599381
76.798,1.8552,8.76306, 0.00608525
77.776,1.95782,8.81871, 0.00634255
78.762,1.93535,8.87444, 0.00619124
79.702,1.9672,8.92726, 0.00621372
80.694,2.01839,8.98261, 0.00629793
81.546,2.24188,9.02988, 0.00692052
82.512,2.28984,9.08317, 0.00698437
83.388,2.25746,9.13134, 0.00680748
84.432,2.10138,9.18827, 0.00625082
85.346,2.34027,9.23791, 0.00689214
86.314,2.3374,9.29012, 0.00680837
87.308,2.41714,9.34346, 0.00696701
88.256,2.49445,9.3941, 0.00711348
89.212,2.52305,9.44483, 0.00712267
90.076,2.82624,9.49047, 0.00791245
91.082,2.88529,9.54325, 0.00798763
92.058,2.66466,9.59434, 0.00728677
92.998,2.596,9.64314, 0.00702168
93.98,2.71961,9.69392, 0.00728326
94.866,2.87406,9.73947, 0.0076204
95.846,2.94828,9.78964, 0.00774186
96.804,3.24158,9.8384, 0.00842822
97.744,3.33445,9.88608, 0.00858115
98.8,3.24801,9.93936, 0.00826633
99.686,3.5054,9.98384, 0.00884362
100.54,3.57239,10.0265, 0.00892493
101.512,3.78584,10.0749, 0.00936797
102.44,3.81435,10.1208, 0.00935001
103.33,3.9231,10.1647, 0.00953737
104.334,3.88046,10.214, 0.00934142
105.31,3.85587,10.2616, 0.00918976
106.292,3.89871,10.3094, 0.00921496
107.196,3.92958,10.3531, 0.00920493
108.152,3.92888,10.3992, 0.00912461
109.074,3.99452,10.4434, 0.00919959
110.09,3.95189,10.492, 0.00901284
111.042,3.99821,10.5372, 0.00904147
111.964,4.05467,10.5809, 0.00908747
112.866,4.17405,10.6234, 0.00927059
113.874,4.25611,10.6707, 0.0093819
114.874,4.36812,10.7175, 0.0095545
115.876,4.44863,10.7641, 0.00965795
116.96,4.28639,10.8143, 0.00922029
117.858,5.02784,10.8558, 0.0107475
118.818,5.19885,10.8998, 0.0110125
119.82,5.1116,10.9458, 0.0107307
120.706,5.38555,10.9861, 0.0112216
121.586,5.77264,11.0261, 0.01194
122.542,5.78229,11.0693, 0.0118728
123.468,5.97299,11.1111, 0.0121707
124.43,5.96309,11.1543, 0.0120528
125.474,6.07529,11.201, 0.0121823
126.45,5.96149,11.2444, 0.0118635
127.418,5.78929,11.2875, 0.0114259
128.488,5.74584,11.3347, 0.0112453
129.418,5.57329,11.3757, 0.0108264
130.266,5.64527,11.4129, 0.0108901
131.384,5.56451,11.4618, 0.0106422
132.186,5.56141,11.4968, 0.0105612
133.194,5.65437,11.5405, 0.0106513
134.276,5.76382,11.5873, 0.010765
135.296,5.76838,11.6313, 0.0107057
136.134,6.03407,11.6672, 0.011124
137.082,6.06131,11.7078, 0.0110902
138.02,6.29563,11.7477, 0.0114369
139.006,5.98795,11.7897, 0.0108006
139.914,6.6286,11.828, 0.0118725
140.772,7.31598,11.8642, 0.0130242
141.686,7.71339,11.9026, 0.0136389
142.638,7.38494,11.9426, 0.012983
143.612,7.39346,11.9832, 0.012918
144.496,7.54595,12.0201, 0.0131161
145.348,7.6629,12.0554, 0.0132345
146.286,7.47819,12.0944, 0.012836
147.214,7.19415,12.1326, 0.012257
148.218,7.33647,12.174, 0.0124113
149.058,7.25261,12.2084, 0.0121966
149.918,7.38528,12.2436, 0.0123377
150.75,7.0255,12.2776, 0.0116643
151.554,7.3051,12.3102, 0.0120636
152.658,7.51502,12.355, 0.0123277
153.654,8.60028,12.3951, 0.0140101
154.568,8.92541,12.432, 0.0144625
155.368,9.29656,12.4641, 0.0149877
156.33,9.54312,12.5026, 0.0152849
157.18,9.73559,12.5365, 0.0155197
158.05,9.77747,12.5712, 0.0154908
159.008,9.92797,12.6092, 0.0156373
159.898,10.1296,12.6445, 0.0158522
160.83,9.55112,12.6813, 0.014864
161.74,9.85235,12.7171, 0.0152426
162.644,9.66528,12.7527, 0.0148657
163.466,9.45477,12.7848, 0.0144549
164.464,9.55266,12.8238, 0.0145135
165.444,10.2909,12.8619, 0.0155418
166.372,10.1256,12.898, 0.0152092
167.334,10.1844,12.9352, 0.0152088
168.216,10.2653,12.9693, 0.0152536
169.012,11.0719,12.9998, 0.0163584
170.14,11.6284,13.0432, 0.0170633
170.928,11.7069,13.0733, 0.0170966
171.996,12.592,13.114, 0.0182808
172.592,13.3615,13.1367, 0.0193154
173.586,13.9406,13.1744, 0.0200393
174.424,12.7322,13.2063, 0.0182183
175.516,12.9577,13.2475, 0.018435
176.384,12.4925,13.2803, 0.0177054
177.22,12.2316,13.3117, 0.0172467
178.06,11.9404,13.3433, 0.0167553
179.064,12.2759,13.3808, 0.0171296
180.068,13.2913,13.4183, 0.018446
180.836,12.8931,13.4468, 0.0178249
182.078,11.8619,13.493, 0.0163026
182.996,12.2,13.527, 0.0166794
183.744,12.2465,13.5545, 0.0166637
184.708,12.3387,13.5901, 0.0166908
185.646,12.3746,13.6245, 0.0166491
186.544,12.9681,13.6575, 0.0173511
187.308,12.9611,13.6854, 0.0172866
188.392,13.8944,13.725, 0.0184283
189.128,13.8076,13.7517, 0.0182455
189.892,13.9724,13.7795, 0.0183816
190.77,13.771,13.8113, 0.0180442
191.734,14.2173,13.8462, 0.0185434
192.664,14.2471,13.8797, 0.0185014
193.384,14.0525,13.9056, 0.0181916
194.394,13.9128,13.9419, 0.0179131
195.122,13.5091,13.968, 0.0173371
196.018,13.1237,14.0001, 0.01677
196.96,14.1184,14.0336, 0.017956
197.66,14.5884,14.0586, 0.0184696
198.714,14.4102,14.096, 0.0181594
199.626,14.64,14.1283, 0.0183598
200.556,14.3308,14.1612, 0.0178891
201.288,14.933,14.187, 0.0185724
202.28,14.8656,14.2219, 0.0184106
203.17,14.355,14.2532, 0.017705
204.008,14.5839,14.2825, 0.0179183
204.798,15.1272,14.3101, 0.0184993
205.618,15.6861,14.3388, 0.0191012
206.5,15.262,14.3695, 0.0185234
207.406,14.8633,14.401, 0.0179633
208.276,14.2279,14.4312, 0.0171377
209.284,13.8234,14.4661, 0.0165743
210.422,13.0579,14.5054, 0.0155905
211.41,13.4039,14.5395, 0.0159202
212.214,13.9502,14.567, 0.0165105
213.082,14.3093,14.5968, 0.0168486
213.872,14.5996,14.6238, 0.0171229
214.996,15,14.6622, 0.0175145
215.8,14.296,14.6896, 0.0166096
216.528,14.8172,14.7144, 0.0171564
217.614,15.4151,14.7511, 0.0177759
