L,mu,time
1000,0.1,1123
1000,0.2,367
1000,0.3,389
1000,0.4,270
1000,0.5,169
1000,0.6,189
1000,0.7,162
1000,0.8,141
1000,0.9,104
1000,1,109
2000,0.1,1235
2000,0.2,184
2000,0.3,967
2000,0.4,409
2000,0.5,425
2000,0.6,406
2000,0.7,272
2000,0.8,253
2000,0.9,234
2000,1,228
3000,0.1,3148
3000,0.2,2039
3000,0.3,1230
3000,0.4,631
3000,0.5,567
3000,0.6,632
3000,0.7,424
3000,0.8,381
3000,0.9,393
3000,1,287
4000,0.1,1556
4000,0.2,406
4000,0.3,1019
4000,0.4,1056
4000,0.5,616
4000,0.6,638
4000,0.7,651
4000,0.8,589
4000,0.9,484
4000,1,415
5000,0.1,4654
5000,0.2,4166
5000,0.3,453
5000,0.4,998
5000,0.5,1034
5000,0.6,908
5000,0.7,832
5000,0.8,753
5000,0.9,518
5000,1,582
6000,0.1,167
6000,0.2,3257
6000,0.3,1712
6000,0.4,628
6000,0.5,674
6000,0.6,1004
6000,0.7,897
6000,0.8,632
6000,0.9,626
6000,1,696
7000,0.1,9182
7000,0.2,3134
7000,0.3,2189
7000,0.4,2342
7000,0.5,1216
7000,0.6,1369
7000,0.7,1243
7000,0.8,1077
7000,0.9,920
7000,1,758
8000,0.1,45
8000,0.2,3613
8000,0.3,2760
8000,0.4,1991
8000,0.5,1876
8000,0.6,1350
8000,0.7,1024
8000,0.8,1030
8000,0.9,915
8000,1,735
9000,0.1,5056
9000,0.2,2773
9000,0.3,3323
9000,0.4,2701
9000,0.5,2018
9000,0.6,1489
9000,0.7,1431
9000,0.8,1374
9000,0.9,1163
9000,1,1098
10000,0.1,219
10000,0.2,5307
10000,0.3,2852
10000,0.4,2601
10000,0.5,2236
10000,0.6,1874
10000,0.7,1542
10000,0.8,1392
10000,0.9,1357
10000,1,1067
